key,value,description,car,cycle,walk,lorry
highway,residential,Road in a residential area,1,1,1,1
highway,service,"Generally for access to a building, service station, beach, campsite, industrial estate, business park, etc.",1,1,1,1
highway,footway,"For designated footpaths, i.e. mainly/exclusively for pedestrians.",1,1,1,1
highway,unclassified,"Public access road, non-residential.",2,1,1,1
highway,track,Roads for agricultural and forestry use etc.,1,1,1,1
highway,path,A generic multi-use path open to non-motorized vehicles.,1,1,1,1
highway,tertiary,"A road linking small settlements, or the local centres of a large town or city.",1,1,1,1
highway,primary,A highway linking large towns.,.25,1,1,1
highway,cycleway,For designated cycleways.,1,1,1,1
highway,secondary,A highway linking large towns.,1,1,1,1
highway,trunk,Important roads that are not motorways.,.25,1,1,1
highway,steps,For flights of steps on footways and paths.,1,1,1,1
highway,bridleway,A way intended for use by equestrians.,1,1,1,1
highway,pedestrian,Roads mainly / exclusively for pedestrians,1,1,1,1
highway,trunk_link,Driveways or descents of an expressway,1,1,1,1
highway,motorway,High capacity highways designed to safely carry fast motor traffic.,1,1,1,1
highway,motorway_link,The link roads (sliproads / ramps) leading to and from a motorway.,1,1,1,1
highway,living_street,Road with very low speed limits and other pedestrian friendly traffic rules,1,1,1,1
highway,construction,,1,1,1,1
highway,primary_link,,1,1,1,1
highway,road,Road with unknown classification.,1,1,1,1
highway,tertiary_link,,1,1,1,1
highway,secondary_link,,1,1,1,1
